disease,mortality_1y,mortality_5y,source,confidence
Methicillin-Resistant Staphylococcus Aureus; Bacterial Infections; Staphylococcal Skin Infections,10.0,15.0,"MRSA invasive infection 30-day/1y mortality ~10-20%; skin infections low (registry, most severe)",low
Mild Pulmonary Vascular Disease,2.0,10.0,Mild pulmonary vascular disease low early mortality (est),low
Moderate and Severe COPD,9.0,25.0,"COPD all-patient 1y ~9.5%, 5y ~25% mortality; higher in severe",medium
Mucositis Pain,0.0,0.0,"Symptom/pain condition, not lethal disease",high
Multiple Sclerosis; Infusion Reaction,0.3,2.0,"MS modest excess mortality, near-normal early survival (cohorts)",medium
Muscle Relaxation,0.0,0.0,"Procedural/pharmacodynamic setting, not a disease",high
"Muscular Dystrophy, Duchenne",1.0,5.0,"DMD median life expectancy ~28-30y; low childhood mortality, rises in 20s-30s",medium
"Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Disease; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn",1.0,5.0,DMD median life expectancy ~28-30y; low childhood mortality,medium
"Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Diseases; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn",1.0,5.0,DMD median life expectancy ~28-30y; low childhood mortality,medium
Musculoskeletal Pain,0.0,0.0,"Pain condition, not a lethal disease",high
Myelodysplastic Syndrome,15.0,55.0,MDS overall heterogeneous; median OS years; higher-risk worse (registry),medium
Myelodysplastic Syndrome (MDS); Chronic Myelomonocytic Leukemia (CMML),20.0,60.0,Higher-risk MDS/CMML median OS ~1-2y; CMML poor,medium
Myelofibrosis (MF),10.0,45.0,Myelofibrosis 5y RS ~50-55%; intermediate-2/high worse,medium
Myeloid Malignancy; Bone Marrow Failure Syndrome; Transfusion-dependent Red Blood Cell (RBC) Defect; Congenital Immunodeficiency; Metabolic Disease; Severe Immune Dysregulation,20.0,55.0,Myeloid malignancy/marrow failure (most severe component) pooled est,low
Myeloma; Venous Thromboembolism,17.0,38.0,"Multiple myeloma 1y mortality ~17%, 5y RS ~62%",medium
Myocardial Infarction; Peripheral Vascular Disease; Aortic Aneurism,12.0,30.0,AMI/PAD 1y mortality ~10-13%; 5y ~30% (most severe component),medium
Myocardial Infarction; STEMI,11.0,25.0,STEMI 1y mortality ~9.6-13.3%; 5y est ~25%,high
Myocardial Injury After Noncardiac Surgery (MINS),10.0,25.0,MINS 30-day mortality ~8-10%; elevated 1y/longer-term (cohorts),medium
NAFLD - Nonalcoholic Fatty Liver Disease,0.5,5.0,NAFLD (without advanced fibrosis) low excess mortality (cohorts),medium
Narcolepsy Type 1 (NT 1),0.0,1.0,Narcolepsy near-normal life expectancy; minimal excess mortality,high
Narcolepsy Type 1 (NT1); Narcolepsy Type 2 (NT2),0.0,1.0,Narcolepsy near-normal life expectancy,high
Neck Carcinoma,12.0,45.0,Head and neck carcinoma 5y RS ~50-65% overall (SEER est),low
Negative Behaviour Change,0.0,0.0,"Behavioral construct, not a disease",high
Neoadjuvant Treatment of Patients With High-risk Early Breast Cancer,2.0,10.0,Early-stage breast cancer high 5y survival (SEER localized/regional ~90%),medium
"Neonatal Diseases and Abnormalities; Neonatal Mortality; Pulmonary Arterial Hypertension; Pulmonary Arterial Hypertension, Children",20.0,40.0,Pediatric/neonatal PAH (most severe component) high mortality (registry est),low
Neoplasm; Venous Thromboembolism,30.0,60.0,Generic neoplasm pooled survival; VTE marker of poor prognosis,low
Neoplasms,30.0,60.0,Generic cancer pooled survival estimate,low
Nephrolithiasis,0.0,0.5,Kidney stones not lethal; negligible mortality,high
Nephrotic Syndrome,2.0,10.0,"Nephrotic syndrome modest excess mortality (thrombosis/infection, cohorts)",low
Neurofibromatosis; NF1; Plexiform Neurofibromas,1.0,5.0,NF1 reduced life expectancy ~8-15y; MPNST risk; low short-term,medium
Neurogenic Detrusor Overactivity,0.0,1.0,"Bladder dysfunction, low direct mortality",medium
Neuropathic Pain,0.0,0.0,"Chronic pain condition, not lethal",high
Newly-diagnosed Glioblastoma,65.0,95.0,"Glioblastoma median OS ~15 mo; 1y ~30-40% survival, 5y ~5-7%",high
Nicotine Addiction,0.5,3.0,Nicotine/smoking long-term excess mortality; low short-term,medium
Non Alcoholic Steatohepatitis,1.0,10.0,NASH 5y mortality ~7-16% (with progression higher),medium
Non-Alcoholic Fatty Liver Disease,0.5,5.0,NAFLD low excess mortality without advanced fibrosis,medium
Non-CNS Germ Cell Tumors (Seminomas and Nonseminomas),3.0,5.0,Testicular/germ cell tumor 5y RS ~95%+ (SEER),high
Non-cephalic Presentation; Inhalation of Nitrous Oxide; Pregnancy Complications; Complications; Cesarean Section; Fetus or Neonate Affected by External Version Before Labor,0.0,0.0,Obstetric/procedural setting; maternal mortality very low in developed settings,high
Non-melanoma Skin Cancer,1.0,3.0,"Non-melanoma skin cancer (BCC/SCC) excellent prognosis, very low mortality",high
Nonalcoholic Steatohepatitis (NASH) With Fibrosis,2.0,15.0,NASH with fibrosis 5y mortality ~16% (fibrosis = strongest predictor),medium
Nonalcoholic Steatohepatitis; Liver Cirrhosis; Non-alcoholic Fatty Liver Disease,5.0,25.0,NASH cirrhosis (most severe component) compensated cirrhosis ~5y mortality ~20-25%,medium
Nonviable pregnancy,0.0,0.0,Obstetric condition (miscarriage/loss); maternal mortality negligible,high
Noonan Syndrome,1.0,3.0,Noonan syndrome near-normal life expectancy; congenital heart risk,medium
Obese Children and Adolescents,0.0,0.5,Childhood obesity negligible short-term mortality,high
Obesity; Insulin Resistance,0.3,2.0,"Obesity modest excess mortality, low short-term (cohorts)",medium
Obsessive-compulsive Disorder,0.2,1.0,OCD modest excess mortality (suicide risk); low overall,medium
Obstetrical Complications; Hemorrhage; Labor and Delivery,0.1,0.1,Obstetric hemorrhage; maternal mortality low in developed settings,medium
Open Heart Surgery,3.0,10.0,Cardiac surgery operative mortality ~2-5%; longer-term per underlying disease,low
Operable HER2 Positive Breast Cancer,2.0,10.0,Operable HER2+ early breast cancer high survival (SEER localized/regional ~90%),medium
Opioid Use Disorder,2.0,12.0,OUD cohort mortality ~1-2%/yr; overdose/complications,medium
Oral SubMucous Fibrosis,1.0,5.0,Oral submucous fibrosis premalignant; mortality from malignant transformation (est),low
Organ Preservation in Rectal Cancer,3.0,25.0,Rectal cancer 5y RS ~65-70% overall (SEER est),medium
Oropharyngeal Cancer,12.0,31.0,"SEER oropharyngeal 1y survival ~88%, 5y ~69%",high
Osteo Arthritis of the Knee,0.0,1.0,Osteoarthritis not directly lethal; negligible disease mortality,high
"Outpatient Surgery; Pain, Postoperative",0.0,0.0,"Procedural/pain setting, not a lethal disease",high
Overactive Bladder (OAB); Pharmacokinetics of Mirabegron,0.0,0.5,Overactive bladder not lethal; PK study,high
Overweight; Autism Spectrum Disorder,0.2,1.0,Overweight/ASD low short-term mortality (ASD modest excess),medium
PCOS,0.0,1.0,PCOS not directly lethal; long-term metabolic risk,high
PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries,0.0,1.0,PCOS not directly lethal,high
PDA,2.0,5.0,"Patent ductus arteriosus; isolated PDA low mortality, higher in preterm",low
PPI Resistant Gastroesophageal Reflux Disease,0.0,0.5,"GERD chronic, low-lethality condition",high
PRK Post-operative Pain,0.0,0.0,"Post-surgical pain (eye surgery), not lethal",high
PTSD,0.3,2.0,PTSD excess mortality (suicide/CV); low short-term (cohorts),medium
Pain During Labour,0.0,0.0,"Labor pain/obstetric setting, not lethal disease",high
Pain Management After Surgery,0.0,0.0,"Postoperative pain, not a lethal disease",high
Pain; Breast Cancer; Lung Cancer,30.0,75.0,Lung cancer (most severe component) SEER 5y RS ~25%; lung cancer pain context,low
Pain; Hyperalgesia; Inflammatory Response,0.0,0.0,"Pain/inflammation construct, not a lethal disease",high
Pain; Long-bone Fractures,0.5,2.0,Fracture pain; long-bone fracture mortality low in non-elderly,low
Pain; Traumatic Limb Injury,0.5,2.0,Limb injury/trauma pain; low mortality for isolated limb injury,low
Painful Diabetic Neuropathy,1.0,8.0,Diabetic neuropathy marks advanced diabetes; mortality from diabetes (cohorts),medium
Painful Diabetic Peripheral Neuropathy (PDPN),1.0,8.0,Diabetic peripheral neuropathy; mortality from underlying diabetes,medium
Pancreas Adenocarcinoma,65.0,88.0,"Pancreatic adenocarcinoma all-stage SEER 1y ~30-40%, 5y ~12%",high
Pancreatic Adenocarcinoma (Ductal Adenocarcinoma),65.0,88.0,Pancreatic ductal adenocarcinoma all-stage SEER 5y RS ~12%,high
Parkinson Disease,1.0,15.0,Parkinson disease modest reduced life expectancy; mortality rises over years,medium
Parkinson' Disease,1.0,15.0,Parkinson disease modest reduced life expectancy,medium
Paroxysmal Nocturnal Hemoglobinuria,2.0,15.0,PNH untreated 10y mortality ~29%; thrombosis-driven (treatment improves),medium
Partial Seizures,0.5,2.0,Focal epilepsy modest excess mortality (SUDEP); low short-term,medium
Participants With Diabetic Neuropathic Pain,1.0,8.0,Diabetic neuropathic pain; mortality from underlying diabetes,medium
Participants With Extensive Stage Small Cell Lung Cancer,70.0,97.0,Extensive-stage SCLC median OS ~8-13 mo; 5y survival ~1-5%,high
Participants With Higher-Risk Myelodysplastic Syndrome,40.0,80.0,Higher-risk MDS median OS ~1.5y (very high ~0.8y),high
Participants With Idiopathic Pulmonary Fibrosis,13.0,50.0,"IPF 1y mortality ~13%, 5y survival ~50% (median survival ~3.5y)",high
Participants With Locally Advanced or Metastatic Triple-Negative Breast Cancer,55.0,89.0,Metastatic TNBC median OS ~11-13 mo; 5y OS ~11%,high
Patent Ductus Arteriosus After Premature Birth,10.0,15.0,PDA in preterm infants; mortality driven by prematurity (est),low
Patients Undergoing Surgery for Non-Small Cell Lung Cancer,5.0,40.0,Resectable/early NSCLC SEER localized 5y RS ~60-65% (est),medium
Patients With Antiphospholipid Syndrome,2.0,10.0,APS thrombosis-driven mortality; catastrophic APS high (cohorts),medium
Patients With Moderate or Severe COVID-19,15.0,18.0,Moderate-severe/hospitalized COVID-19 in-hospital/short-term mortality ~10-20%,medium
Patients With Resected Pancreatic Cancer,20.0,75.0,Resected pancreatic cancer 5y RS ~20-25% (better than unresected),medium
Patients With Rheumatoid Arthritis,0.5,4.0,RA modest excess mortality (CV/infection); low short-term (cohorts),medium
Patients With Scleroderma Related Lung Fibrosis,5.0,30.0,Scleroderma-ILD major mortality driver; 5y mortality ~30% (cohorts),medium
Pediatric Asthma,0.0,0.1,Childhood asthma very low mortality,high
Pediatric Congestive Heart Failure (CHF) Patients With Volume Overload,10.0,30.0,Pediatric heart failure significant mortality (registry est),low
Pediatric Crohn's Disease,0.2,1.0,Crohn's disease near-normal life expectancy; low mortality,medium
Pelvic Organ Prolapse; PONV,0.0,0.0,"Prolapse/postoperative nausea, not lethal",high
Pemphigus,2.0,8.0,Pemphigus vulgaris untreated historically high; treated mortality ~5-10% over years,medium
Pemphigus Vulgaris,2.0,8.0,Pemphigus vulgaris treated mortality ~5-10% (infection/complications),medium
Pemphigus Vulgaris; Pemphigus Foliaceus,2.0,8.0,Pemphigus vulgaris (most severe component) mortality ~5-10%,medium
Peptic Ulcer,1.0,5.0,Peptic ulcer; mortality mainly from hemorrhage/perforation (cohorts),medium
Peptic Ulcer Hemorrhage,8.0,15.0,Peptic ulcer bleeding mortality ~5-10% acute; higher in elderly,medium
Peri-operative Hemorrhage or Hematoma; Surgery; Retrognathism,0.5,2.0,Perioperative bleeding in elective surgery; low mortality,low
Perioperative Anxiety,0.0,0.0,"Anxiety in surgical setting, not a lethal disease",high
Perioperative Bleeding; Venous Thrombosis; Arterial Thrombosis,5.0,15.0,Perioperative VTE/arterial thrombosis; mortality varies (est),low
Peripheral Arterial Disease,5.0,30.0,"PAD ~5y mortality ~30% (CV-driven, MACE 3-6x general population)",medium
Peripheral Artery Disease,5.0,30.0,PAD ~5y mortality ~30% (CV-driven),medium
"Peripheral Artery Disease; Atherosclerosis; Artery Diseases, Peripheral; Plaque, Atherosclerotic; Occlusive Arterial Disease",5.0,30.0,PAD/atherosclerosis ~5y mortality ~30% (CV-driven),medium
Peritoneal Cancer,25.0,60.0,Primary peritoneal carcinoma 5y survival ~40% (advanced ~20-50%),medium
Persistent Pregnancy of Unknown Location; Ectopic Pregnancy,0.1,0.1,Ectopic pregnancy; maternal mortality low with treatment in developed settings,medium
Philadelphia Chromosome Positive (PH+) Chronic Myelogenous Leukemia in Chronic Phase (CML-CP),2.0,15.0,CML chronic phase on TKI 5y RS ~85-90%; near-normal with treatment,high
Phospholamban R14del Mutation-related Cardiomyopathy,3.0,20.0,PLN R14del cardiomyopathy; progressive arrhythmia/HF mortality (cohorts),low
Placenta Previa,0.1,0.1,Placenta previa; maternal mortality low with management in developed settings,medium
Placenta previa,0.1,0.1,Placenta previa; maternal mortality low with management,medium
"Plague, Bubonic; Plague, Pneumonic",50.0,55.0,Pneumonic plague (most severe) treated case-fatality >50%; ~100% untreated,medium
Plasmodium Falciparum Infection,1.0,1.0,P. falciparum malaria treated CFR <1%; severe untreated high (WHO),medium
Platelet Inhibition; Coronary Stent Implantation,3.0,12.0,Post-PCI/stent coronary disease; ~5y mortality ~10-15% (cohorts),low
Pleural Mesothelioma Malignant Advanced,40.0,92.0,Advanced pleural mesothelioma 5y RS ~8-12%; distant ~8%,high
Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,8.0,20.0,PMM2-CDG ~20% mortality in first ~4-5 yr of life (NORD/FCDGC/GeneReviews),high
Pneumonia,10.0,28.0,"CAP cohorts: 30-day ~6-8% hospitalized, 1-yr ~30%, 5-yr ~36% (ATS/AJRCCM, AFP)",medium
"Pneumonia, Pneumocystis; Coronavirus; COVID-19",18.0,22.0,Pneumocystis pneumonia in-hospital ~15-20% (most severe component); severe COVID pneumonia ~30% in-hospital,medium
Polycystic Ovary Syndrome; Insulin Resistance,0.1,0.5,PCOS is non-lethal chronic endocrine condition; negligible direct mortality,high
Polycystic Ovary Syndrome; Vitamin D Deficiency/Insufficiency,0.1,0.5,PCOS / vitamin D deficiency non-lethal chronic conditions; negligible mortality,high
Poor Glycemic Control,0.5,3.0,Glycemic control component of type 2 diabetes; low short-term mortality (CDC/registry T2DM),medium
Portal Hypertension; Esophageal Varices; Liver Cirrhosis,30.0,60.0,"Decompensated cirrhosis with varices: ~1-yr survival ~50%, 5-yr ~40% (Garcia-Tsao/UpToDate)",medium
Post Operative Cognitive Dysfunction,0.0,0.0,"Perioperative cognitive symptom, not a lethal disease; negligible direct mortality",high
Post Operative Dental Pain,0.0,0.0,"Pain/procedural setting, not a lethal disease; mortality ~0",high
Post Operative Nausea and Vomiting; Sleeve Gastrectomy; Morbid Obesity,0.1,1.0,PONV/bariatric perioperative setting; sleeve gastrectomy 30-day mortality <0.3%,high
Post Partum Haemorrhage,0.5,0.5,"PPH case-fatality ~1-3% LMIC, <<1% high-income; acute peripartum event (WOMAN trial/ACOG)",medium
Post Traumatic Stress Disorder; Alcohol Abuse,0.5,3.0,"PTSD/alcohol use disorder chronic; elevated suicide/accident risk, low absolute 1-yr mortality",low
Post Uterine Artery Embolization Pain,0.0,0.0,"Procedural pain setting, not a lethal disease; mortality ~0",high
Post-ERCP Acute Pancreatitis,1.0,1.0,"Post-ERCP pancreatitis mostly mild; severe-case mortality ~2-3%, overall ~1% acute",medium
Post-Operative Pain,0.0,0.0,"Pain setting, not a lethal disease; mortality ~0",high
Post-Sternotomy Pain,0.0,0.0,"Pain setting, not a lethal disease; mortality ~0",high
Post-Traumatic Headache,0.0,0.0,"Headache/pain setting, not a lethal disease; mortality ~0",high
Post-cesarean pain,0.0,0.0,"Pain setting, not a lethal disease; mortality ~0",high
Post-herpetic Neuralgia,0.0,1.0,"Chronic neuropathic pain in older adults; non-lethal, deaths from age/comorbidity only",high
Post-operative Pain,0.0,0.0,"Pain setting, not a lethal disease; mortality ~0",high
Post-surgical Pain,0.0,0.0,"Pain setting, not a lethal disease; mortality ~0",high
Postmenopausal Cancer,8.0,30.0,"Generic cancer string; using mixed-cancer SEER all-sites ~1-yr 8%, 5-yr ~30% mortality",low
Postoperative Confusion,0.0,0.0,"Perioperative delirium symptom, not a lethal disease; negligible direct mortality",high
Postoperative Depression,0.2,1.0,"Depression in perioperative setting; non-lethal, low absolute mortality",medium
Postoperative Nausea and Vomiting; Vomiting,0.0,0.0,"PONV symptom, not a lethal disease; mortality ~0",high
Postoperative Retention of Urine,0.0,0.0,"Urinary retention symptom, not a lethal disease; mortality ~0",high
Postoperative Urinary Retention,0.0,0.0,"Urinary retention symptom, not a lethal disease; mortality ~0",high
Postpartum Hemorrhage; Tranexamic Acid,0.5,0.5,"PPH case-fatality ~1-3% LMIC, <<1% high-income; acute peripartum event (WOMAN trial)",medium
Postprandial Hypoglycemia,0.1,0.5,"Functional/reactive hypoglycemia; non-lethal metabolic condition, negligible mortality",medium
Pre- and Postoperative Pain,0.0,0.0,"Pain setting, not a lethal disease; mortality ~0",high
Pre-Eclampsia,0.3,0.3,Pre-eclampsia case-fatality ~1% (much lower high-income); acute peripartum (preeclampsia.org/WHO),medium
Pre-eclampsia,0.3,0.3,Pre-eclampsia case-fatality ~1% (much lower high-income); acute peripartum (preeclampsia.org/WHO),medium
Pre-eclampsia; Fetus or Newborn; Effects of Induction of Labor,0.3,0.3,Pre-eclampsia maternal case-fatality ~1% (most severe component); acute peripartum,medium
Pre-frail Elderly,2.0,15.0,Pre-frailty in elderly; ~5-yr mortality ~15% vs frail higher (frailty cohort literature),low
Pregnancy Related; COVID; Covid-19,0.5,0.5,COVID-19 IFR ~0.3-0.9%; pregnancy modestly elevates severe-COVID risk (acute),low
"Pregnancy, Unwanted",0.0,0.0,"Family-planning/contraception context, not a lethal disease; mortality ~0",high
Pregnancy; Respiratory Distress Syndrome; Pregnancy Outcomes; Preterm Birth,3.0,4.0,Neonatal RDS/preterm birth; neonatal mortality for moderate-late preterm low single digits,low
Preoperative Sedation,0.0,0.0,"Anesthesia/sedation setting, not a disease; mortality ~0",high
Preterm Birth; Twin Dichorionic Diamniotic Placenta,3.0,4.0,"Preterm twin birth; neonatal mortality varies by gestational age, low single digits for late preterm",low
Preterm premature rupture of membranes,3.0,4.0,"PPROM; perinatal mortality depends on gestational age, low single digits at later gestation",low
Prevention,0.0,0.0,Non-disease/procedural string (prevention); mortality ~0,high
Prevention & Control,0.0,0.0,Non-disease/procedural string; mortality ~0,high
Prevention of Cytomegalovirus Infection,0.0,2.0,CMV prophylaxis context (transplant); CMV disease can be serious but prophylaxis target ~0 baseline,low
Prevention of Graft-versus-Host Disease,0.0,0.0,"GVHD prevention context, not the disease itself; baseline ~0 (GVHD itself is lethal)",low
Prevention of Ovarian Hyperstimulation Syndrome,0.0,0.0,OHSS prevention context; OHSS rarely fatal; mortality ~0,high
Prevention of Pain,0.0,0.0,"Pain prevention setting, not a lethal disease; mortality ~0",high
Primary Biliary Cholangitis,6.0,12.0,"PBC survival ~94% at 1 yr, ~88% at 5 yr (UDCA-era cohorts)",high
Primary Dysmenorrhoea,0.0,0.0,"Menstrual pain, non-lethal benign condition; mortality ~0",high
Primary Hyperlipidemia and Mixed Dyslipidemia,0.2,2.0,Dyslipidemia chronic risk factor; low direct short-term mortality (long-term CV risk),high
"Primary MDS (Very Low, Low or Intermediate IPSS-R With <5% Blasts); Anemia",8.0,45.0,Lower-risk MDS median survival ~5 yr (IPSS-R low ~5.3 yr),medium
Primary Mitochondrial Myopathy,3.0,15.0,"Primary mitochondrial myopathy; variable course, moderate progressive mortality (mito disease cohorts)",low
Primary Myelofibrosis (MF),10.0,49.0,Primary myelofibrosis median survival ~5 yr; ~49% die within 5 yr,high
Primary Myelofibrosis; MPN-associated Myelofibrosis,10.0,49.0,Primary/secondary myelofibrosis median survival ~5 yr; ~49% die within 5 yr,high
Primary Myelofibrosis; Post-Polycythemia Vera Myelofibrosis; Post-Essential Thrombocythemia Myelofibrosis,10.0,49.0,Myelofibrosis (primary/post-PV/post-ET) median survival ~5 yr; ~49% 5-yr mortality,high
Primary Myelofibrosis; Post-polycythemia Vera Myelofibrosis; Post-essential Thrombocythemia Myelofibrosis,10.0,49.0,Myelofibrosis (primary/post-PV/post-ET) median survival ~5 yr; ~49% 5-yr mortality,high
Primary Sclerosing Cholangitis,3.0,12.0,PSC median transplant-free survival ~13-21 yr; 5-yr survival ~85-90%,medium
Procedural Pain,0.0,0.0,"Pain/procedural setting, not a lethal disease; mortality ~0",high
Procedural Sedation and Analgesia,0.0,0.0,"Sedation/analgesia setting, not a disease; mortality ~0",high
Prostate Cancer Metastatic,15.0,66.0,Distant-stage prostate cancer 5-yr relative survival ~34% (SEER); 1-yr ~85%,high
Prostate Cancer; Castration Resistant Prostate Cancer; Pain; Prostatic Neoplasms,20.0,70.0,"Castration-resistant/metastatic prostate cancer; most-severe component, distant SEER ~34% 5-yr survival",medium
Prostrate Cancer,3.0,5.0,Prostate cancer (typo); overall all-stage 5-yr relative survival ~97% (SEER),high
Proteinuria,0.5,5.0,"Proteinuria marker of CKD; low direct short-term mortality, long-term renal/CV risk",low
Psoriasis Vulgaris,0.1,1.0,Psoriasis chronic non-lethal skin disease; negligible direct mortality,high
Psychomotor Agitation,0.2,2.0,Agitation symptom across psych/medical settings; low direct mortality,low
Psychotic Disorders; Personality Disorders; Clinical High Risk,0.5,3.0,"Psychotic/personality disorders chronic; elevated suicide risk, low absolute 1-yr mortality",low
Pulmonary Arterial Hypertension; Chronic Thromboembolic Pulmonary Hypertension,15.0,43.0,"PAH REVEAL registry: 1-yr survival ~85%, 5-yr ~57%",high
Pulmonary Arterial Hypertension; Pulmonary Hypertension,15.0,43.0,"PAH REVEAL registry: 1-yr survival ~85%, 5-yr ~57%",high
Pulmonary Embolism,15.0,35.0,"PE 30-day mortality ~8%, 1-yr ~20%, 5-yr ~30-40% (single-center registries)",medium
Pulpitis,0.0,0.0,"Dental pulp inflammation, non-lethal; mortality ~0",high
Purpura; Idiopathic Thrombocytopenic Purpura,1.0,3.0,"ITP: low mortality, mainly from rare severe bleeding/older age (registry data)",medium
Radiotherapy; Toripalimab; Sorafenib; Advanced Hepatocellular Carcinoma,86.0,97.0,"Advanced/distant HCC: 1-yr survival ~14%, 5-yr ~3% (SEER)",high
Rapid Atrial Fibrillation; Heart Rate Control,1.0,10.0,"Atrial fibrillation chronic arrhythmia; low direct 1-yr mortality, elevated stroke/CV 5-yr risk",medium
Recurrent or Metastatic Head and Neck Cancer,50.0,82.0,Recurrent/metastatic HNSCC median OS ~12 mo; metastatic 5-yr survival ~8-18% (SEER/cohorts),high
Reducing Psychological Side Effects of Ketamine,0.0,0.0,"Drug side-effect mitigation setting, not a disease; mortality ~0",high
Reduction of Gestational Diabetes,0.1,1.0,"Gestational diabetes; low direct maternal mortality, primarily perinatal/metabolic risk",medium
Reflux Esophagitis,0.0,1.0,GERD/reflux esophagitis chronic benign; negligible direct mortality,high
Refractory Cancer,15.0,50.0,"Generic refractory (treatment-resistant) cancer; advanced disease, high mortality estimate",low
Refractory Chronic Leukemia,15.0,50.0,"Refractory chronic leukemia (e.g., CLL); refractory disease poor prognosis estimate",low
Refractory Colorectal Cancer,25.0,85.0,Metastatic/refractory CRC median OS ~1.7-2.5 yr; distant 5-yr survival ~10-15% (SEER),high
Relapse Prevention in Adult Participants With Treatment-resistant Depression,0.5,3.0,"Treatment-resistant depression chronic; elevated suicide risk, low absolute 1-yr mortality",low
Renal Cell Carcinoma (RCC),15.0,22.0,RCC overall SEER 5-yr relative survival ~78%; 1-yr ~85%,high
Renal Colic,0.0,0.0,"Acute kidney-stone pain, non-lethal; mortality ~0",high
Renal Failure; Critical Care; Gram Positive Bacteria,30.0,50.0,Critical-illness renal failure with infection; acute kidney injury in ICU mortality ~30-50%,low
Renal Function After Partial Nephrectomy,0.5,3.0,Post-nephrectomy renal function context; perioperative mortality low,medium
"Renal Insufficiency, Chronic",5.0,28.0,CKD (mostly stage 3) all-cause mortality; ~5-yr ~25-30% (EPIRAN/systematic reviews),medium
Respiratory Infection,1.0,5.0,"Generic respiratory infection; mostly self-limited, low mortality except severe/elderly",low
Rhinosinusitis,0.0,0.0,"Sinus inflammation, non-lethal benign condition; mortality ~0",high
Richter's Transformation,50.0,80.0,Richter transformation median OS ~8-12 mo; 2-yr survival ~20-40%,high
Risk of Disease,0.0,0.0,Non-disease/prevention string (risk of disease); mortality ~0,high
Roux en Y Gastric Bypass Surgery,0.3,2.0,"Bariatric surgery setting; 30-day mortality ~0.3%, low procedural mortality",high
SARS-CoV-2,0.5,0.5,COVID-19 IFR ~0.3-0.9% overall (seroprevalence-based); acute disease,medium
SCLC,67.0,93.0,"Small cell lung cancer SEER: 1-yr survival ~33%, 5-yr ~6-7%",high
ST Segment Elevation Myocardial Infarction,10.0,22.0,STEMI 1-yr mortality ~10% (primary PCI era); 5-yr ~20-25%,high
Schizoaffective and Schizophreniform Disorders; Schizophrenia,0.8,4.0,"Schizophrenia-spectrum chronic; SMR ~3, life-expectancy gap ~15-20 yr, low absolute 1-yr mortality",medium
Schizophrenia; Medication Nonadherence; Schizo Affective Disorder,0.8,4.0,"Schizophrenia chronic; SMR ~3 (suicide/CV), low absolute 1-yr mortality",medium
Schizophrenia; Schizoaffective Disorder,0.8,4.0,"Schizophrenia-spectrum chronic; SMR ~3, ~5-yr mortality low single digits",medium
Schizophrenia; Schizoaffective Disorder; Schizophreniform Disorder; Psychosis NOS,0.8,4.0,"Schizophrenia-spectrum chronic; SMR ~3, low absolute 1-yr mortality",medium
Schizophrenia; Schizoaffective Disorder; Schizophreniform Disorders,0.8,4.0,"Schizophrenia-spectrum chronic; SMR ~3, low absolute 1-yr mortality",medium
Schizophrenia; Schizophreniform Disorders; Bipolar I Disorder,0.8,4.0,"Severe mental illness chronic; SMR ~2-3, elevated suicide risk, low absolute 1-yr mortality",medium
Scoliosis; Adolescence; Anesthesia Recovery Period,0.0,0.0,"Adolescent scoliosis/anesthesia recovery setting; non-lethal, perioperative mortality ~0",high
Seborrheic Dermatitis; Papulopustular Rosacea,0.0,0.0,Benign chronic skin conditions; mortality ~0,high
Secondary Cancer,8.0,30.0,Generic secondary/second-primary cancer; mixed-cancer SEER estimate ~30% 5-yr mortality,low
"Secondary Hyperparathyroidism, Chronic Kidney Disease",6.0,35.0,SHPT in CKD/dialysis; advanced CKD/ESRD mortality elevated (~5-yr survival of dialysis ~50%),low
Secondary Hyperparathyroidism-Chronic Kidney Disease,6.0,35.0,SHPT in CKD/dialysis; advanced CKD/ESRD mortality elevated (~5-yr survival ~50% on dialysis),low
Sedation in Intensive Care,0.0,0.0,"ICU sedation setting, not a disease itself; mortality ~0 (attributable to underlying illness)",medium
Septic Shock; Sepsis,40.0,60.0,"Septic shock 28/30-day mortality ~37%; 1-yr higher ~45-50%, 5-yr ~60-70%",high
Septic Shock; Vasopressor Resistance,45.0,65.0,Refractory/vasopressor-resistant septic shock; higher than typical septic shock ~37% short-term,medium
Severe COVID-19 Pulmonary Infection,30.0,32.0,Severe/hospitalized COVID-19 pneumonia in-hospital mortality ~30% (cohort data),medium
Severe Cancer,20.0,55.0,Generic severe/advanced cancer string; high mortality estimate (mixed advanced disease),low
Shivering,0.0,0.0,"Perioperative shivering symptom, not a disease; mortality ~0",high
Shoulder Arthritis,0.0,0.0,"Degenerative joint disease, non-lethal; mortality ~0",high
Sickle Cell Anemia,1.0,5.0,"Sickle cell disease chronic; reduced life expectancy ~52 yr, low absolute annual mortality",medium
