disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
transthyretin amyloid cardiomyopathy,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
influenza,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Autosomal Dominant Polycystic Kidney Disease (ADPKD),30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Triple Negative Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Tube Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Plasmodium falciparum malaria,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Hypercholesterolemia; Hypertension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Postoperative Nausea and Vomiting,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
HIV,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Lennox-Gastaut syndrome,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Sleep Disorder,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
pituitary-dependent Cushing's disease,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Treatment of Major Depressive Disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Anal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Delirium; Impaired Cognition; Long Term Psychologic Disorders,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
Chronic Kidney Diseases,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Colorectal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
skin and soft tissue Staphylococcus aureus infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Transplantation Infection; Cytomegalovirus Infections,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
End Stage Renal Disease; Restless Legs Syndrome,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
Drug Resistant Malaria Due to Plasmodium Falciparum,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Latent Tuberculosis Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
scabies,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Alopecia Areata,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
photoaging,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
breast cancer,15,20,22,high,"Breast cancer: objective survival/response endpoints, minimal placebo"
Acute Myocardial Infarction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Amyotrophic Lateral Sclerosis,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Post Traumatic Stress Disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
septic shock,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Alzheimer disease,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Non-Proliferative Diabetic Retinopathy; Cataract,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Headache,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Myasthenia Gravis,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
rosacea,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Psoriasis,32,48,45,high,"Psoriasis: PASI clinician visual-severity score, modest placebo"
Relapsed Prostate Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
erythropoietic protoporphyria,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Advanced Gastric Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Immune Thrombocytopenia,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Mutant Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Hyperlipidemias,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Healthy Volunteers,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Anxiety,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Acute Coronary Syndromes,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
neonatal abstinence syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Pain, Postoperative; Tooth Diseases",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
"Anesthesia, General",35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
generalized anxiety disorder,70,85,85,high,"GAD: high placebo, subjective anxiety-rating (HAM-A) endpoint"
Cytomegalovirus (CMV),18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
tuberculosis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Platelet Reactivity,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Coronary Artery Disease; Endothelial Function,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
infertility,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
"Multiple Trauma; Pain, Acute",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Esophageal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Thyroid Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Duodenal Ulcer,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
Sickle Cell Anemia; Sickle Cell Disease; Malaria,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Waldenström's Macroglobulinemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Venous Thromboembolism,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
tinea pedis,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Community-acquired Bacterial Pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Other Acute Postoperative Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Post Partum Hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Malaria,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
non-24-hour sleep-wake disorder,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
Gastrointestinal Stromal Tumors,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Menopause,55,75,62,med,"Vasomotor/hot-flash symptoms: very high placebo, patient-reported symptom-frequency endpoint"
restless legs syndrome,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
Secondary Hyperparathyroidism; Chronic Kidney Disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Locoregional Analgesia in Breast Surgery,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
ST Elevation Myocardial Infarction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Heart Failure With Preserved Ejection Fraction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
bacterial infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
neurogenic bladder,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Thrombocytopenia,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
"Vomiting, Postoperative; Postoperative Complications; Hypotension",20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
HIV; Tuberculosis,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Solid Tumors,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Peripheral Vertigo.,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Advanced Colorectal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
cataract,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Previously Treated Chronic Lymphocytic Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Fever,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
alcohol dependence,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Vaginal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Metabolic Syndrome,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
rhinitis,50,65,54,med,"Allergic rhinitis/symptomatic allergy: notable placebo, symptom-score patient-reported endpoint"
Advanced Lung Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
neuropsychiatric symptoms of neurodegenerative disease,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
hyperphosphatemia,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Acute Ischaemic Stroke; Transient Ischaemic Attack,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Cognitive Change; Behavior,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Overactive Bladder; Urinary Incontinence,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Treatment Resistant Depression,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Epilepsy; Generalized Tonic-clonic Seizures,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Parental/Caregiver Anxiety; Child's Anxiety,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Coronavirus; Severe Acute Respiratory Syndrome,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
SARS-CoV-2 Infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Crohn's Disease,40,55,52,high,"Crohn's: CDAI patient-reported + endoscopic, moderate-high placebo"
Type II Diabetes Mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Unexplained Infertility,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Myocardial Infarction; ST Segment Elevation Myocardial Infarction (STEMI),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Colonoscopy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Alcohol Use Disorder,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
